event,wav,text
system_ready,system_ready.wav,系统已启动
scan_success,scan_success.wav,商品已加入购物车
unknown_product,unknown_product.wav,未录入商品，请重新扫码
scan_failed,scan_failed.wav,扫码失败，请重试
capture_start,capture_start.wav,开始拍照
capture_success,capture_success.wav,拍照完成
capture_busy,capture_busy.wav,摄像头忙，请稍后
capture_failed,capture_failed.wav,拍照失败，请重试
remove_last,remove_last.wav,已删除上一件商品
cart_clear,cart_clear.wav,购物车已清空
total_query,total_query.wav,已查询总价，请查看屏幕
payment_wait,payment_wait.wav,已生成订单，请扫码支付
payment_success,payment_success.wav,支付成功
voice_ready,voice_ready.wav,请说话
voice_processing,voice_processing.wav,正在识别
voice_success,voice_success.wav,识别成功
voice_failed,voice_failed.wav,未识别，请重试
input_routed_scan,input_routed_scan.wav,检测到条码，已转为扫码
